Room,Mean Daily Avg (µg/m³),Min Daily Avg (µg/m³),Max Daily Avg (µg/m³),Std Dev (µg/m³),% Days > WHO (15 µg/m³),% Days > NAAQS (60 µg/m³)
Kitchen,106.79005829995197,54.84713633579751,199.3124118938131,28.092683295711765,100.0,97.43589743589743
Hall,104.0103277391995,49.257299303369244,208.85669529812944,30.06007461916386,100.0,97.43589743589743
Bedroom,81.31027731675445,55.46446974411697,136.5331621904027,18.159418046023017,100.0,92.3076923076923
