Event ID,Date,Peak Time,Peak Hour,Recovery Hour,Recovery Time,Recovery Threshold,Decay Duration (hours),Initial Concentration,Final Concentration,Decay Rate (µg/m³/hour),Decay Rate (µg/m³/minute)
2.0,2025-12-30,2025-12-30 09:00:00,9,15,2025-12-30 15:00:00,79.12129804367716,6.0,133.39877300613497,75.65243902439025,9.624388996957455,0.16040648328262425
6.0,2026-01-01,2026-01-01 09:30:00,9,14,2026-01-01 14:30:00,79.12129804367716,5.0,107.09451219512195,68.21950750477843,7.775000938068703,0.1295833489678117
10.0,2026-01-02,2026-01-02 12:00:00,12,14,2026-01-02 14:00:00,79.12129804367716,2.0,81.18680482817098,68.31863185196269,6.434086488104143,0.10723477480173571
14.0,2026-01-03,2026-01-03 09:30:00,9,11,2026-01-03 11:00:00,79.12129804367716,1.5,95.5640243902439,74.9390243902439,13.75,0.22916666666666666
15.0,2026-01-03,2026-01-03 20:00:00,20,23,2026-01-03 23:00:00,79.12129804367716,3.0,98.62368447304105,76.16282607611352,7.486952798975845,0.12478254664959741
16.0,2026-01-04,2026-01-04 12:00:00,12,15,2026-01-04 15:30:00,79.12129804367716,3.5,109.86718788967032,71.34757344505961,11.005604127031631,0.18342673545052718
17.0,2026-01-04,2026-01-04 19:00:00,19,0,2026-01-05 00:00:00,79.12129804367716,5.0,100.3071474886528,63.532782183650056,7.354873061000549,0.12258121768334249
18.0,2026-01-05,2026-01-05 11:30:00,11,13,2026-01-05 13:00:00,79.12129804367716,1.5,106.6441717791411,73.7379171030974,21.937503117362468,0.3656250519560411
20.0,2026-01-06,2026-01-06 22:00:00,22,2,2026-01-07 02:00:00,79.12129804367716,4.0,106.29471544715447,71.96154421666915,8.58329280762133,0.14305488012702217
23.0,2026-01-07,2026-01-07 19:30:00,19,2,2026-01-08 02:30:00,79.12129804367716,7.0,135.8582317073171,78.0716463414634,8.25522648083624,0.13758710801393734
26.0,2026-01-08,2026-01-08 20:30:00,20,0,2026-01-09 00:00:00,79.12129804367716,3.5,132.9496951219512,78.39305888074219,15.587610354631149,0.25979350591051914
27.0,2026-01-09,2026-01-09 09:30:00,9,14,2026-01-09 14:00:00,79.12129804367716,4.5,170.72201855454136,73.59072459973066,21.584731989957934,0.3597455331659656
28.0,2026-01-09,2026-01-09 19:30:00,19,20,2026-01-09 20:30:00,79.12129804367716,1.0,104.55888074218166,76.15040650406503,28.408474238116625,0.4734745706352771
29.0,2026-01-09,2026-01-09 21:30:00,21,3,2026-01-10 03:30:00,79.12129804367716,6.0,117.18618135567858,77.67502431542721,6.585192840041896,0.10975321400069826
30.0,2026-01-10,2026-01-10 09:30:00,9,13,2026-01-10 13:30:00,79.12129804367716,4.0,158.45935582822085,77.98977505112475,20.117395194274025,0.3352899199045671
35.0,2026-01-12,2026-01-12 08:30:00,8,15,2026-01-12 15:00:00,79.12129804367716,6.5,147.56394022145741,76.62060451892863,10.914359338850582,0.18190598898084304
36.0,2026-01-12,2026-01-12 20:30:00,20,4,2026-01-13 04:00:00,79.12129804367716,7.5,145.52747643273977,77.95005985335928,9.010322210584066,0.15017203684306776
38.0,2026-01-14,2026-01-14 09:00:00,9,11,2026-01-14 11:30:00,79.12129804367716,2.5,118.26328931617536,72.70923425108484,18.221622026036208,0.3036937004339368
40.0,2026-01-15,2026-01-15 09:00:00,9,11,2026-01-15 11:30:00,79.12129804367716,2.5,88.94918699186992,77.02670956157414,4.768990972118314,0.07948318286863858
42.0,2026-01-16,2026-01-16 09:30:00,9,14,2026-01-16 14:00:00,79.12129804367716,4.5,102.91830016459674,73.7149016160407,6.489644121901342,0.10816073536502237
45.0,2026-01-17,2026-01-17 09:30:00,9,16,2026-01-17 16:00:00,79.12129804367716,6.5,196.18149483764776,73.80541859943139,18.82708865203329,0.3137848108672215
47.0,2026-01-18,2026-01-18 21:30:00,21,2,2026-01-19 02:00:00,79.12129804367716,4.5,115.71569429896753,78.8007534041598,8.203320198846162,0.1367220033141027
49.0,2026-01-19,2026-01-19 22:00:00,22,23,2026-01-19 23:30:00,79.12129804367716,1.5,94.16138211382115,78.50201219512195,10.439579945799466,0.17399299909665775
51.0,2026-01-20,2026-01-20 08:30:00,8,12,2026-01-20 12:30:00,79.12129804367716,4.0,117.81778392937304,68.5610162601626,12.314191917302608,0.20523653195504346
52.0,2026-01-20,2026-01-20 21:30:00,21,23,2026-01-20 23:30:00,79.12129804367716,2.0,83.93693775250635,78.38411585365853,2.776410949423912,0.04627351582373187
53.0,2026-01-21,2026-01-21 12:00:00,12,15,2026-01-21 15:30:00,79.12129804367716,3.5,90.46904309441868,76.46879601226993,4.000070594899642,0.06666784324832736
55.0,2026-01-21,2026-01-21 21:00:00,21,0,2026-01-22 00:00:00,79.12129804367716,3.0,116.10345080594212,75.59872222430046,13.501576193880553,0.2250262698980092
58.0,2026-01-22,2026-01-22 20:30:00,20,1,2026-01-23 01:00:00,79.12129804367716,4.5,103.26669534640132,76.94094668063245,5.85016637017086,0.097502772836181
64.0,2026-01-24,2026-01-24 20:30:00,20,21,2026-01-24 21:30:00,79.12129804367716,1.0,89.72221906329492,78.74987168936107,10.972347373933843,0.18287245623223072
66.0,2026-01-25,2026-01-25 21:00:00,21,2,2026-01-26 02:00:00,79.12129804367716,5.0,93.57782825826725,76.44658723627114,3.426248204399221,0.057104136739987016
69.0,2026-01-27,2026-01-27 09:00:00,9,12,2026-01-27 12:30:00,79.12129804367716,3.5,112.70486879021396,70.42385081550202,12.080290849917699,0.20133818083196164
72.0,2026-01-28,2026-01-28 09:00:00,9,11,2026-01-28 11:00:00,79.12129804367716,2.0,82.99130081300812,78.16953735223703,2.4108817303855474,0.040181362173092455
73.0,2026-01-28,2026-01-28 21:30:00,21,2,2026-01-29 02:00:00,79.12129804367716,4.5,106.85030113721383,73.46165475834206,7.419699195304838,0.12366165325508063
74.0,2026-01-29,2026-01-29 09:30:00,9,12,2026-01-29 12:00:00,79.12129804367716,2.5,98.16370118210384,74.78313033068981,9.352228340565608,0.15587047234276014
75.0,2026-01-29,2026-01-29 18:00:00,18,19,2026-01-29 19:00:00,79.12129804367716,1.0,82.71621483615144,76.368523866527,6.347690969624438,0.10579484949374063
76.0,2026-01-30,2026-01-30 12:00:00,12,15,2026-01-30 15:00:00,79.12129804367716,3.0,87.59276073619631,73.23923312883436,4.784509202453985,0.07974182004089975
77.0,2026-01-30,2026-01-30 21:30:00,21,0,2026-01-31 00:00:00,79.12129804367716,2.5,140.71623559778544,77.5160077809367,25.280091126739496,0.4213348521123249
80.0,2026-02-01,2026-02-01 12:00:00,12,17,2026-02-01 17:00:00,79.12129804367716,5.0,145.32796663615318,79.05181280861889,13.255230765506857,0.22092051275844762
83.0,2026-02-02,2026-02-02 10:30:00,10,15,2026-02-02 15:00:00,79.12129804367716,4.5,100.98746034714948,78.39056748466257,5.0215317472193135,0.08369219578698855
84.0,2026-02-02,2026-02-02 19:30:00,19,22,2026-02-02 22:30:00,79.12129804367716,3.0,111.0672256097561,78.08700910893312,10.993405500274326,0.1832234250045721
85.0,2026-02-03,2026-02-03 09:00:00,9,13,2026-02-03 13:30:00,79.12129804367716,4.5,127.25800526210783,74.44728789465809,11.735714970544386,0.1955952495090731
87.0,2026-02-03,2026-02-03 20:30:00,20,23,2026-02-03 23:30:00,79.12129804367716,3.0,123.86326687116565,74.64787520574592,16.40513055513991,0.2734188425856651
