Date,Max pm2.5atm
2025-12-29,185.80208333333334
2025-12-30,168.7560975609756
2025-12-31,197.85276073619633
2026-01-01,115.6859756097561
2026-01-02,101.97154471544717
2026-01-03,98.62368447304105
2026-01-04,109.86718788967032
2026-01-05,106.6441717791411
2026-01-06,112.42740286298569
2026-01-07,135.8582317073171
2026-01-08,132.9496951219512
2026-01-09,170.72201855454136
2026-01-10,158.45935582822085
2026-01-11,154.56237218813905
2026-01-12,147.56394022145741
2026-01-13,123.88359456830764
2026-01-14,118.26328931617536
2026-01-15,88.94918699186992
2026-01-16,110.7931879395481
2026-01-17,196.18149483764776
2026-01-18,115.71569429896753
2026-01-19,118.23929011422017
2026-01-20,117.81778392937304
2026-01-21,116.10345080594212
2026-01-22,137.99326200808022
2026-01-23,103.08485697541023
2026-01-24,89.72221906329492
2026-01-25,93.57782825826725
2026-01-26,147.5152228602424
2026-01-27,120.54280487804878
2026-01-28,106.85030113721383
2026-01-29,98.16370118210384
2026-01-30,140.71623559778544
2026-01-31,134.8458804055065
2026-02-01,147.8750797733054
2026-02-02,111.0672256097561
2026-02-03,127.25800526210783
2026-02-04,82.66616564417177
2026-02-05,164.93251533742333
