Date,Max pm2.5atm
2025-12-29,275.75
2025-12-30,375.8292682926829
2025-12-31,415.8871657956525
2026-01-01,185.41197076422026
2026-01-02,371.58239281926984
2026-01-03,227.00638112550178
2026-01-04,209.05277024992472
2026-01-05,221.98779240859895
2026-01-06,223.21742979699738
2026-01-07,309.1768573245549
2026-01-08,152.58130704773305
2026-01-09,315.47178312590677
2026-01-10,252.33010374582273
2026-01-11,266.4764826175869
2026-01-12,255.622510035598
2026-01-13,212.43167218709223
2026-01-14,170.8251703026951
2026-01-15,132.203033817148
2026-01-16,199.87751937101928
2026-01-17,198.9366053169734
2026-01-18,155.8859533159308
2026-01-19,300.01618488407104
2026-01-20,178.20277680793166
2026-01-21,184.88551059164308
2026-01-22,288.4370600452804
2026-01-23,185.60246460612493
2026-01-24,134.84283817147985
2026-01-25,156.0450448484546
2026-01-26,217.71668118466897
2026-01-27,179.9648840404666
2026-01-28,229.3135144999747
2026-01-29,140.02612020580634
2026-01-30,235.41017008329592
2026-01-31,279.3312819933755
2026-02-01,248.24657161770432
2026-02-02,140.1929335627712
2026-02-03,134.9982872319959
2026-02-04,253.38079829417927
2026-02-05,288.4268292682927
