Date,Peak ID,min_time,max_time,Duration (minutes)
2026-01-14,56,2026-01-14 01:25:00,2026-01-14 01:39:00,14.0
2026-01-14,57,2026-01-14 01:41:00,2026-01-14 01:43:00,2.0
2026-01-14,58,2026-01-14 01:45:00,2026-01-14 06:28:00,283.0
2026-01-14,59,2026-01-14 06:30:00,2026-01-14 12:06:00,336.0
2026-01-14,60,2026-01-14 12:08:00,2026-01-14 12:09:00,1.0
2026-01-14,61,2026-01-14 12:12:00,2026-01-14 12:13:00,1.0
2026-01-15,62,2026-01-15 02:04:00,2026-01-15 04:16:00,132.0
2026-01-15,63,2026-01-15 04:19:00,2026-01-15 04:19:00,0.016666666666666666
2026-01-15,64,2026-01-15 04:22:00,2026-01-15 04:22:00,0.016666666666666666
2026-01-15,65,2026-01-15 04:24:00,2026-01-15 04:24:00,0.016666666666666666
2026-01-15,66,2026-01-15 04:28:00,2026-01-15 04:28:00,0.016666666666666666
2026-01-15,67,2026-01-15 05:05:00,2026-01-15 05:05:00,0.016666666666666666
2026-01-15,68,2026-01-15 05:09:00,2026-01-15 05:10:00,1.0
2026-01-15,69,2026-01-15 05:19:00,2026-01-15 05:21:00,2.0
2026-01-15,70,2026-01-15 05:23:00,2026-01-15 05:23:00,0.016666666666666666
2026-01-15,71,2026-01-15 05:27:00,2026-01-15 05:29:00,2.0
2026-01-15,72,2026-01-15 05:31:00,2026-01-15 06:22:00,51.0
2026-01-15,73,2026-01-15 06:24:00,2026-01-15 06:46:00,22.0
2026-01-15,74,2026-01-15 06:48:00,2026-01-15 06:59:00,11.0
2026-01-15,75,2026-01-15 08:28:00,2026-01-15 08:31:00,3.0
2026-01-15,76,2026-01-15 08:33:00,2026-01-15 13:02:00,269.0
2026-01-15,77,2026-01-15 13:04:00,2026-01-15 13:06:00,2.0
2026-01-15,78,2026-01-15 13:09:00,2026-01-15 13:09:00,0.016666666666666666
2026-01-15,79,2026-01-15 13:11:00,2026-01-15 13:12:00,1.0
2026-01-15,80,2026-01-15 18:43:00,2026-01-15 18:44:00,1.0
2026-01-15,81,2026-01-15 18:46:00,2026-01-15 18:46:00,0.016666666666666666
2026-01-15,82,2026-01-15 18:49:00,2026-01-15 19:00:00,11.0
2026-01-15,83,2026-01-15 19:02:00,2026-01-15 19:06:00,4.0
2026-01-15,84,2026-01-15 19:40:00,2026-01-15 19:40:00,0.016666666666666666
2026-01-15,85,2026-01-15 19:42:00,2026-01-15 19:42:00,0.016666666666666666
2026-01-15,86,2026-01-15 19:44:00,2026-01-15 19:44:00,0.016666666666666666
2026-01-15,87,2026-01-15 19:49:00,2026-01-15 19:49:00,0.016666666666666666
2026-01-15,88,2026-01-15 19:51:00,2026-01-15 20:18:00,27.0
2026-01-15,89,2026-01-15 22:29:00,2026-01-15 22:29:00,0.016666666666666666
2026-01-15,90,2026-01-15 22:33:00,2026-01-15 23:59:00,86.0
2026-01-16,90,2026-01-16 00:00:00,2026-01-16 03:35:00,215.0
2026-01-16,91,2026-01-16 03:38:00,2026-01-16 03:38:00,0.016666666666666666
2026-01-16,92,2026-01-16 03:43:00,2026-01-16 03:44:00,1.0
2026-01-16,93,2026-01-16 07:56:00,2026-01-16 07:56:00,0.016666666666666666
2026-01-16,94,2026-01-16 07:58:00,2026-01-16 08:01:00,3.0
2026-01-16,95,2026-01-16 08:03:00,2026-01-16 15:54:00,471.0
2026-01-16,96,2026-01-16 18:13:00,2026-01-16 18:13:00,0.016666666666666666
2026-01-16,97,2026-01-16 18:17:00,2026-01-16 18:17:00,0.016666666666666666
2026-01-16,98,2026-01-16 18:20:00,2026-01-16 18:20:00,0.016666666666666666
2026-01-16,99,2026-01-16 18:24:00,2026-01-16 18:33:00,9.0
2026-01-16,100,2026-01-16 18:36:00,2026-01-16 18:36:00,0.016666666666666666
2026-01-16,101,2026-01-16 18:39:00,2026-01-16 18:39:00,0.016666666666666666
2026-01-16,102,2026-01-16 18:42:00,2026-01-16 18:42:00,0.016666666666666666
2026-01-16,103,2026-01-16 19:08:00,2026-01-16 19:22:00,14.0
2026-01-16,104,2026-01-16 19:24:00,2026-01-16 19:35:00,11.0
2026-01-16,105,2026-01-16 19:40:00,2026-01-16 19:42:00,2.0
2026-01-16,106,2026-01-16 19:44:00,2026-01-16 23:59:00,255.0
2026-01-17,106,2026-01-17 00:00:00,2026-01-17 16:58:00,1018.0
2026-01-17,107,2026-01-17 17:02:00,2026-01-17 17:05:00,3.0
2026-01-17,108,2026-01-17 17:08:00,2026-01-17 17:08:00,0.016666666666666666
2026-01-17,109,2026-01-17 17:13:00,2026-01-17 17:13:00,0.016666666666666666
2026-01-17,110,2026-01-17 17:16:00,2026-01-17 17:16:00,0.016666666666666666
2026-01-17,111,2026-01-17 19:15:00,2026-01-17 23:59:00,284.0
2026-01-18,112,2026-01-18 08:26:00,2026-01-18 08:26:00,0.016666666666666666
2026-01-18,113,2026-01-18 08:28:00,2026-01-18 08:28:00,0.016666666666666666
2026-01-18,114,2026-01-18 08:33:00,2026-01-18 11:56:00,203.0
2026-01-18,115,2026-01-18 11:58:00,2026-01-18 11:58:00,0.016666666666666666
2026-01-18,116,2026-01-18 13:04:00,2026-01-18 14:23:00,79.0
2026-01-18,117,2026-01-18 19:42:00,2026-01-18 19:45:00,3.0
2026-01-18,118,2026-01-18 19:47:00,2026-01-18 19:47:00,0.016666666666666666
2026-01-18,119,2026-01-18 19:49:00,2026-01-18 23:59:00,250.0
2026-01-19,119,2026-01-19 00:00:00,2026-01-19 04:30:00,270.0
2026-01-19,120,2026-01-19 04:39:00,2026-01-19 04:39:00,0.016666666666666666
2026-01-19,121,2026-01-19 04:41:00,2026-01-19 04:41:00,0.016666666666666666
2026-01-19,122,2026-01-19 04:49:00,2026-01-19 04:51:00,2.0
2026-01-19,123,2026-01-19 05:00:00,2026-01-19 05:00:00,0.016666666666666666
2026-01-19,124,2026-01-19 06:02:00,2026-01-19 06:08:00,6.0
2026-01-19,125,2026-01-19 06:14:00,2026-01-19 06:14:00,0.016666666666666666
2026-01-19,126,2026-01-19 06:24:00,2026-01-19 12:33:00,369.0
2026-01-19,127,2026-01-19 12:44:00,2026-01-19 12:44:00,0.016666666666666666
2026-01-19,128,2026-01-19 20:47:00,2026-01-19 20:47:00,0.016666666666666666
2026-01-19,129,2026-01-19 20:50:00,2026-01-19 23:59:00,189.0
2026-01-20,129,2026-01-20 00:00:00,2026-01-20 00:24:00,24.0
2026-01-20,130,2026-01-20 00:26:00,2026-01-20 00:28:00,2.0
2026-01-20,131,2026-01-20 01:20:00,2026-01-20 01:20:00,0.016666666666666666
2026-01-20,132,2026-01-20 01:24:00,2026-01-20 01:24:00,0.016666666666666666
