Date,Max pm2.5atm
2025-12-29,153.40833333333333
2025-12-30,246.0493827160494
2025-12-31,407.5273267993416
2026-01-01,190.79998494429387
2026-01-02,206.35656668938879
2026-01-03,189.35109444823146
2026-01-04,305.1724822838291
2026-01-05,137.08172856935292
2026-01-06,182.64197530864197
2026-01-07,429.9301066424527
2026-01-08,172.53452416579378
2026-01-09,292.4689928347908
2026-01-10,213.57033025299197
2026-01-11,227.63254304903296
2026-01-12,226.77494466326652
2026-01-13,197.35818435883385
2026-01-14,183.3946057159958
2026-01-15,131.03068950977513
2026-01-16,215.57965132165324
2026-01-17,193.7497980104025
2026-01-18,428.15791853939334
2026-01-19,189.7918582497572
2026-01-20,182.55189076885088
2026-01-21,178.19290275416557
2026-01-22,251.31993017020113
2026-01-23,180.78854483146725
2026-01-24,89.21789393763058
2026-01-25,137.567309604543
2026-01-26,319.12374622279583
2026-01-27,157.64907467388127
2026-01-28,137.9874676672541
2026-01-29,135.2815269256987
2026-01-30,278.08129786990816
2026-01-31,419.1215930692027
2026-02-01,429.66059119830334
2026-02-02,412.1884044804515
2026-02-03,157.09356774975384
2026-02-04,373.72249154168566
2026-02-05,227.46951219512195
