Event ID,Date,Peak Time,Peak Hour,Recovery Hour,Recovery Time,Recovery Threshold,Decay Duration (hours),Initial Concentration,Final Concentration,Decay Rate (µg/m³/hour),Decay Rate (µg/m³/minute)
3.0,2026-01-01,2026-01-01 09:30:00,9,10,2026-01-01 10:30:00,91.86972883901151,1.0,132.30246913580248,83.48765432098766,48.814814814814824,0.8135802469135804
6.0,2026-01-03,2026-01-03 10:30:00,10,12,2026-01-03 12:00:00,91.86972883901151,1.5,157.675,87.20496894409938,46.980020703933754,0.7830003450655626
7.0,2026-01-03,2026-01-03 21:30:00,21,23,2026-01-03 23:30:00,91.86972883901151,2.0,141.0,89.07926829268293,25.960365853658537,0.4326727642276423
8.0,2026-01-04,2026-01-04 11:00:00,11,13,2026-01-04 13:30:00,91.86972883901151,2.5,121.025,89.17283950617283,12.740864197530868,0.21234773662551448
9.0,2026-01-04,2026-01-04 19:30:00,19,21,2026-01-04 21:30:00,91.86972883901151,2.0,165.95092024539878,85.28658536585365,40.33216743977256,0.672202790662876
11.0,2026-01-05,2026-01-05 19:00:00,19,20,2026-01-05 20:30:00,91.86972883901151,1.5,201.29447852760737,66.03086419753086,90.17574288671767,1.5029290481119613
13.0,2026-01-06,2026-01-06 08:00:00,8,9,2026-01-06 09:00:00,91.86972883901151,1.0,241.12422360248448,90.53703703703704,150.58718656544744,2.5097864427574574
17.0,2026-01-06,2026-01-06 22:00:00,22,1,2026-01-07 01:30:00,91.86972883901151,3.5,194.96319018404907,85.90123456790124,31.16055874747081,0.5193426457911802
20.0,2026-01-07,2026-01-07 21:00:00,21,1,2026-01-08 01:00:00,91.86972883901151,4.0,484.9141104294479,91.14024390243902,98.44346663175222,1.640724443862537
24.0,2026-01-10,2026-01-10 08:30:00,8,12,2026-01-10 12:00:00,91.86972883901151,3.5,232.59756097560975,85.6890243902439,41.97386759581882,0.6995644599303136
29.0,2026-01-12,2026-01-12 21:00:00,21,2,2026-01-13 02:30:00,91.86972883901151,5.5,293.9012345679012,85.45731707317073,37.898894089951,0.6316482348325166
31.0,2026-01-13,2026-01-13 11:30:00,11,15,2026-01-13 15:30:00,91.86972883901151,4.0,313.3292682926829,89.64814814814815,55.92028003613369,0.9320046672688949
33.0,2026-01-14,2026-01-14 08:30:00,8,9,2026-01-14 09:30:00,91.86972883901151,1.0,156.34969325153375,87.42073170731707,68.92896154421668,1.1488160257369446
34.0,2026-01-14,2026-01-14 11:30:00,11,12,2026-01-14 12:30:00,91.86972883901151,1.0,112.87116564417178,56.48765432098765,56.38351132318413,0.9397251887197355
35.0,2026-01-14,2026-01-14 19:00:00,19,21,2026-01-14 21:30:00,91.86972883901151,2.5,193.4478527607362,74.17682926829268,47.70840939697741,0.7951401566162901
37.0,2026-01-15,2026-01-15 11:30:00,11,13,2026-01-15 13:00:00,91.86972883901151,1.5,152.13496932515338,63.23312883435583,59.267893660531705,0.9877982276755284
38.0,2026-01-15,2026-01-15 20:00:00,20,2,2026-01-16 02:00:00,91.86972883901151,6.0,254.48466257668713,79.49693251533742,29.164621676891617,0.48607702794819363
42.0,2026-01-16,2026-01-16 21:00:00,21,4,2026-01-17 04:00:00,91.86972883901151,7.0,411.3865030674847,91.58536585365853,45.685876744832306,0.7614312790805384
45.0,2026-01-18,2026-01-18 10:00:00,10,11,2026-01-18 11:00:00,91.86972883901151,1.0,110.2439024390244,76.14375,34.1001524390244,0.56833587398374
46.0,2026-01-18,2026-01-18 20:00:00,20,5,2026-01-19 05:30:00,91.86972883901151,9.5,214.29473684210527,82.3167701863354,13.892417542712618,0.23154029237854362
47.0,2026-01-19,2026-01-19 10:00:00,10,11,2026-01-19 11:30:00,91.86972883901151,1.5,158.7361963190184,82.79754601226993,50.625766871165645,0.843762781186094
48.0,2026-01-19,2026-01-19 21:00:00,21,2,2026-01-20 02:30:00,91.86972883901151,5.5,150.31055900621118,84.13496932515338,12.031925396555964,0.2005320899425994
49.0,2026-01-20,2026-01-20 09:00:00,9,11,2026-01-20 11:00:00,91.86972883901151,2.0,214.14723926380367,84.7639751552795,64.69163205426209,1.0781938675710347
50.0,2026-01-20,2026-01-20 21:30:00,21,23,2026-01-20 23:30:00,91.86972883901151,2.0,167.0060975609756,87.32098765432099,39.84255495332731,0.6640425825554551
51.0,2026-01-21,2026-01-21 08:00:00,8,10,2026-01-21 10:00:00,91.86972883901151,2.0,125.96932515337423,91.32298136645963,17.3231718934573,0.28871953155762164
53.0,2026-01-21,2026-01-21 21:00:00,21,0,2026-01-22 00:00:00,91.86972883901151,3.0,301.0920245398773,84.72839506172839,72.12120982604962,1.2020201637674937
56.0,2026-01-22,2026-01-22 21:00:00,21,0,2026-01-23 00:00:00,91.86972883901151,3.0,301.0925925925926,88.86792452830188,70.74155602143024,1.179025933690504
57.0,2026-01-23,2026-01-23 08:00:00,8,10,2026-01-23 10:30:00,91.86972883901151,2.5,240.09756097560975,64.03703703703704,70.42420957542909,1.1737368262571515
62.0,2026-01-25,2026-01-25 21:00:00,21,23,2026-01-25 23:30:00,91.86972883901151,2.5,100.99386503067484,76.73291925465838,9.704378310406582,0.16173963850677636
