Date,Max pm2.5atm
2025-12-31,535.5030674846626
2026-01-01,272.4024390243902
2026-01-02,122.74233128834356
2026-01-03,234.39877300613497
2026-01-04,202.7987804878049
2026-01-05,156.73170731707316
2026-01-06,253.28658536585365
2026-01-07,762.1219512195122
2026-01-08,332.0858895705521
2026-01-09,1715.9754601226994
2026-01-10,217.69938650306747
2026-01-11,238.58282208588957
2026-01-12,350.6768292682927
2026-01-13,322.9207317073171
2026-01-14,193.25766871165644
2026-01-15,246.76829268292684
2026-01-16,508.1165644171779
2026-01-17,163.390243902439
2026-01-18,236.06748466257667
2026-01-19,266.2134146341463
2026-01-20,249.87730061349694
2026-01-21,341.4024390243902
2026-01-22,299.4846625766871
2026-01-23,225.6319018404908
2026-01-25,107.74846625766871
2026-01-26,204.6829268292683
2026-01-27,218.82822085889572
2026-01-28,320.3841463414634
2026-01-29,181.97560975609755
2026-01-30,401.2073170731707
2026-01-31,597.8343558282209
2026-02-01,315.0853658536585
2026-02-02,222.76829268292684
2026-02-03,179.71341463414635
2026-02-04,211.41717791411043
2026-02-05,88.07317073170732
