Date,Max pm2.5atm
2025-12-31,232.1341463414634
2026-01-01,122.71165644171779
2026-01-03,75.95092024539878
2026-01-04,76.57668711656441
2026-01-05,70.35365853658537
2026-01-06,86.64024390243902
2026-01-07,128.06748466257667
2026-01-08,122.53048780487805
2026-01-09,145.8048780487805
2026-01-10,131.48170731707316
2026-01-11,142.859756097561
2026-01-12,125.94478527607362
2026-01-13,97.40243902439025
2026-01-14,96.1951219512195
2026-01-15,86.35975609756098
2026-01-16,87.70552147239263
2026-01-17,207.0
2026-01-19,80.51213414634147
2026-01-20,89.0304268292683
2026-01-21,129.49674846625769
2026-01-22,74.92490797546013
2026-01-24,131.49601226993863
2026-01-25,88.29164634146342
2026-01-26,148.89269938650307
2026-01-27,83.42853658536586
2026-01-28,75.26268292682927
2026-01-29,115.7459756097561
2026-01-30,134.28231707317073
2026-02-01,87.74634146341464
2026-02-02,121.08073170731709
2026-02-03,129.0654268292683
2026-02-04,125.11743902439024
2026-02-05,127.68433333333334
